RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
317,575,Spain,Female,31,6,0,2,1,1,95686.42,0,4,SILVER,609,0
318,772,Spain,Male,30,4,78653.05,1,1,0,1790.48,0,2,DIAMOND,949,0
319,689,Spain,Female,28,3,0,2,1,1,192449.02,0,4,SILVER,731,0
320,624,Spain,Male,46,3,0,2,1,1,62825.03,0,2,SILVER,591,0
321,665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0,5,PLATINUM,870,0
322,837,Spain,Male,31,9,104678.62,1,0,1,50972.6,0,2,SILVER,263,0
323,562,Spain,Male,32,6,161628.66,1,1,0,91482.5,0,5,SILVER,561,0
324,681,Spain,Male,67,7,0,2,0,1,163714.92,0,1,SILVER,444,0
325,741,Spain,Male,25,4,0,2,1,1,73873.65,0,5,SILVER,234,0
326,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1,2,GOLD,661,1
327,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0,5,SILVER,998,0
328,579,Spain,Male,37,5,152212.88,2,0,0,120219.14,0,3,SILVER,299,0
329,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0,3,DIAMOND,515,0
330,548,Spain,Male,39,7,131468.44,1,1,0,164975.82,0,1,DIAMOND,668,0
331,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0,2,DIAMOND,434,0
332,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0,5,PLATINUM,472,0
333,653,Spain,Male,55,2,70263.83,1,0,1,62347.71,0,1,GOLD,644,0
334,643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0,2,DIAMOND,893,0
335,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1,1,SILVER,621,1
336,645,Spain,Male,49,2,0,2,0,0,10023.15,0,3,SILVER,553,0
337,591,Spain,Male,30,8,124857.69,2,0,0,50485.7,0,2,DIAMOND,650,0
338,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0,4,GOLD,908,0
339,635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1,3,SILVER,997,1
340,703,Spain,Male,20,3,165260.98,1,1,1,41626.78,0,5,GOLD,751,0
341,640,Spain,Female,46,8,0,2,1,0,89043.19,0,1,GOLD,429,0
342,568,Spain,Female,43,9,0,1,1,0,125870.79,1,1,PLATINUM,805,1
343,618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0,1,SILVER,696,0
344,682,Spain,Male,46,7,128029.72,1,1,1,62615.35,0,3,GOLD,586,0
345,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1,1,GOLD,612,1
346,652,Spain,Male,71,4,0,1,1,1,120107.1,0,3,DIAMOND,305,0
347,670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0,2,GOLD,984,0
348,568,Spain,Female,26,6,0,2,0,0,166495.2,0,5,SILVER,634,0
349,575,Spain,Male,43,3,0,1,1,0,83594.51,0,5,DIAMOND,600,0
350,626,Spain,Male,29,7,0,2,1,0,49361.84,0,5,PLATINUM,429,0
351,611,Spain,Male,52,7,0,1,0,1,73585.18,1,2,PLATINUM,380,1
352,734,Spain,Male,39,6,0,1,1,1,95135.27,0,1,GOLD,593,0
353,775,Spain,Male,30,4,0,2,0,1,57461.13,0,5,PLATINUM,368,0
354,645,Spain,Female,37,7,0,2,1,0,13589.93,0,4,DIAMOND,318,0
355,689,Spain,Female,31,4,0,2,1,1,136610.02,0,5,PLATINUM,840,0
356,768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0,4,DIAMOND,570,0
357,715,Spain,Female,35,4,40169.88,2,1,1,199857.47,0,5,GOLD,484,0
358,661,Spain,Female,42,3,0,2,1,0,35989.41,0,3,PLATINUM,465,0
359,582,Spain,Female,46,8,67563.31,1,1,0,44506.09,1,1,SILVER,454,1
360,794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0,4,DIAMOND,618,0
361,705,Spain,Male,46,7,0,2,1,0,117273.35,0,2,GOLD,946,0
362,636,Spain,Female,33,0,0,1,1,0,92277.47,1,2,SILVER,618,1
363,517,Spain,Female,29,5,0,2,1,0,103402.88,0,1,PLATINUM,584,0
364,620,Spain,Female,43,2,0,2,1,0,20670.1,0,5,GOLD,540,0
365,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1,3,PLATINUM,709,1
366,572,Spain,Male,23,2,126873.52,1,0,1,67040.12,0,4,GOLD,628,0
367,585,Spain,Female,33,8,0,2,1,0,114182.07,0,4,PLATINUM,779,0
368,724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0,3,SILVER,559,0
369,696,Spain,Male,41,9,127523.75,1,0,1,191417.42,0,1,DIAMOND,824,0
370,603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1,3,DIAMOND,416,1
371,573,Spain,Female,44,4,0,1,1,1,94862.93,0,4,PLATINUM,920,0
372,598,Spain,Male,44,8,0,2,1,0,148487.9,0,4,SILVER,909,0
373,627,Spain,Male,44,6,0,1,1,1,114469.55,0,5,SILVER,258,0
374,697,Spain,Male,56,5,110802.03,1,1,1,50230.31,1,1,DIAMOND,238,1
375,632,Spain,Male,31,3,136556.44,1,1,0,82152.83,1,4,SILVER,964,1
376,521,Spain,Female,34,7,70731.07,1,1,1,20243.97,1,2,GOLD,773,1
377,639,Spain,Male,28,8,0,2,1,0,126561.07,0,5,PLATINUM,249,0
378,611,Spain,Male,34,4,0,2,1,0,170950.58,0,4,DIAMOND,911,0
379,637,Spain,Female,40,6,0,2,1,1,181610.6,0,3,PLATINUM,230,0
380,726,Spain,Female,26,1,80780.16,1,1,1,19225.85,0,2,SILVER,457,0
381,592,Spain,Male,38,8,0,2,1,0,180426.2,0,2,GOLD,588,0
382,850,Spain,Female,29,1,0,2,1,1,197996.65,0,3,DIAMOND,534,0
383,710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1,5,DIAMOND,933,1
384,596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1,2,SILVER,317,1
385,797,Spain,Female,31,8,0,2,1,0,117916.63,0,5,DIAMOND,346,0
386,735,Spain,Male,50,9,0,1,0,0,166677.35,1,2,PLATINUM,886,1
387,680,Spain,Female,30,3,0,1,1,0,160131.58,0,4,GOLD,916,0
388,569,Spain,Male,38,8,0,2,0,0,79618.79,0,1,DIAMOND,225,0
389,575,Spain,Female,37,0,0,2,0,0,30114.32,0,2,GOLD,930,0
390,539,Spain,Male,38,8,71460.67,2,1,1,10074.05,0,3,DIAMOND,750,0
391,850,Spain,Male,39,6,133214.13,1,0,1,20769.88,0,5,PLATINUM,681,0
392,710,Spain,Female,36,8,0,2,0,0,83206.19,0,3,SILVER,636,0
393,507,Spain,Female,29,6,0,2,0,1,94780.9,0,2,DIAMOND,284,0
394,598,Spain,Male,41,8,0,2,1,1,161954.43,0,3,PLATINUM,779,0
395,569,Spain,Female,41,4,139840.36,1,1,1,163524.7,0,3,SILVER,970,0
396,578,Spain,Male,23,8,0,2,1,0,112124.98,0,3,DIAMOND,240,0
397,764,Spain,Female,33,9,168964.77,1,0,1,118982.51,0,2,GOLD,915,0
398,607,Spain,Female,36,4,98266.3,1,1,1,46416.36,0,1,PLATINUM,933,0
399,656,Spain,Male,69,6,163975.09,1,1,1,36108.5,0,3,SILVER,836,0
400,520,Spain,Male,43,7,0,2,1,1,36202.74,0,1,PLATINUM,357,0
401,653,Spain,Female,30,2,88243.29,2,1,1,96658.26,0,1,PLATINUM,875,0
402,668,Spain,Male,25,8,0,2,1,1,135112.09,0,2,SILVER,765,0
403,639,Spain,Female,54,2,0,2,1,1,53843.71,0,2,DIAMOND,522,0
404,730,Spain,Female,52,7,0,2,0,1,122398.84,0,5,SILVER,800,0
405,850,Spain,Female,29,10,0,2,1,1,94815.04,0,1,GOLD,251,0
406,559,Spain,Female,40,5,139129.44,1,0,1,32635.54,0,4,DIAMOND,601,0
407,717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1,1,PLATINUM,845,1
408,687,Spain,Female,21,8,0,2,1,1,154767.34,0,5,PLATINUM,449,0
409,671,Spain,Female,42,3,0,2,1,1,128449.33,0,2,DIAMOND,931,0
410,632,Spain,Female,39,5,97854.37,2,1,0,93536.38,0,4,DIAMOND,271,0
411,521,Spain,Male,29,3,60280.62,1,1,0,154271.41,0,3,DIAMOND,700,0
412,591,Spain,Male,36,7,135216.8,1,1,1,122022.89,0,1,GOLD,710,0
413,557,Spain,Female,40,4,0,2,0,1,105433.53,0,2,SILVER,281,0
414,689,Spain,Male,38,5,75075.14,1,1,1,8651.92,1,4,GOLD,731,1
415,525,Spain,Female,25,10,0,2,1,0,69361.95,0,5,GOLD,428,0
416,662,Spain,Female,30,9,0,2,0,1,157884.83,0,5,SILVER,479,0
417,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,3,SILVER,643,1
418,705,Spain,Female,23,5,0,2,1,1,73131.73,0,4,SILVER,308,0
419,538,Spain,Female,31,0,0,2,0,0,179453.66,0,5,SILVER,798,0
420,583,Spain,Male,47,5,102562.23,1,1,0,92708.1,0,3,SILVER,948,0
421,712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0,2,GOLD,345,0
422,626,Spain,Male,62,3,0,1,1,1,65010.74,0,1,PLATINUM,930,0
423,731,Spain,Male,41,4,0,2,1,0,22299.27,0,1,GOLD,968,0
424,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1,5,DIAMOND,760,1
425,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0,5,DIAMOND,307,0
426,606,Spain,Female,46,8,0,2,1,1,183717.94,0,2,DIAMOND,939,0
427,559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1,4,SILVER,327,1
428,784,Spain,Male,33,10,0,2,1,0,162022.47,0,3,PLATINUM,562,0
429,812,Spain,Female,44,8,0,3,1,0,66926.83,1,2,PLATINUM,812,1
430,784,Spain,Female,40,8,0,2,1,0,108891.3,0,2,PLATINUM,672,0
431,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0,4,GOLD,344,0
432,681,Spain,Female,32,3,0,2,1,1,59679.9,0,1,SILVER,526,0
433,682,Spain,Male,36,5,0,2,1,1,147758.51,0,5,GOLD,628,0
434,850,Spain,Male,37,4,137204.77,1,1,1,28865.59,0,5,DIAMOND,687,0
435,595,Spain,Male,35,8,0,1,1,0,100015.79,1,1,SILVER,645,1
436,675,Spain,Male,36,3,54098.18,2,0,1,54478.52,0,4,PLATINUM,432,0
437,591,Spain,Male,31,8,0,1,1,1,141677.33,0,1,GOLD,997,0
438,554,Spain,Female,34,8,0,1,0,1,106981.03,0,4,DIAMOND,539,0
439,686,Spain,Male,22,5,0,2,1,0,158974.45,0,2,SILVER,968,0
440,719,Spain,Male,38,0,0,1,1,0,126876.47,0,1,SILVER,954,0
441,850,Spain,Male,30,2,0,2,0,1,27937.12,0,1,PLATINUM,663,0
442,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0,3,GOLD,738,0
443,712,Spain,Male,47,1,139887.01,1,1,1,95719.73,0,4,GOLD,583,0
444,809,Spain,Male,33,9,0,1,1,1,124045.65,0,5,GOLD,452,0
445,707,Spain,Female,35,3,56674.48,1,1,0,17987.4,1,4,DIAMOND,845,1
446,648,Spain,Male,32,8,0,1,1,0,133653.38,0,4,SILVER,687,0
447,760,Spain,Female,57,1,0,2,1,1,25101.17,0,2,PLATINUM,687,0
448,595,Spain,Female,30,5,100683.54,1,1,1,178361.04,0,3,SILVER,376,0
449,676,Spain,Female,36,4,0,2,1,1,3173.31,0,2,PLATINUM,539,0
450,758,Spain,Female,40,5,93499.82,2,0,0,123218.81,0,1,DIAMOND,793,0
451,601,Spain,Female,44,4,0,2,1,0,58561.31,0,1,GOLD,281,0
452,769,Spain,Male,39,9,0,1,1,1,47722.79,0,3,PLATINUM,851,0
453,796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0,2,SILVER,606,0
454,584,Spain,Female,59,1,0,1,0,1,130260.11,1,1,PLATINUM,462,1
455,595,Spain,Female,23,10,101126.66,2,0,0,37042.8,0,4,SILVER,586,0
456,533,Spain,Female,52,7,0,1,0,1,194113.99,1,5,DIAMOND,590,1
457,760,Spain,Male,28,1,141038.57,2,0,0,16287.38,0,4,DIAMOND,882,0
458,725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1,1,PLATINUM,663,1
459,640,Spain,Male,34,1,137523.02,1,0,0,24761.36,0,1,GOLD,994,0
460,793,Spain,Female,36,0,0,1,0,0,148993.47,0,2,SILVER,847,0
461,533,Spain,Male,38,1,135289.33,2,0,1,152956.33,0,1,GOLD,867,0
462,711,Spain,Male,37,2,0,2,1,0,83978.86,1,4,GOLD,407,1
463,763,Spain,Female,37,6,0,2,1,1,149705.25,0,5,SILVER,799,0
464,702,Spain,Female,35,8,14262.8,2,1,0,54689.16,0,3,SILVER,372,0
465,686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0,2,DIAMOND,561,0
466,629,Spain,Male,36,1,161757.87,2,1,1,146371.72,0,2,DIAMOND,642,0
467,850,Spain,Female,39,10,0,2,1,1,143030.09,0,3,DIAMOND,440,0
468,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0,1,SILVER,987,0
469,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0,2,PLATINUM,527,0
470,714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,5,DIAMOND,734,0
471,604,Spain,Male,23,9,124577.33,1,1,1,7267.25,0,4,DIAMOND,470,0
472,630,Spain,Male,35,1,0,2,0,0,186826.22,0,1,PLATINUM,548,0
473,850,Spain,Female,31,4,91292.7,1,1,1,162149.07,0,5,GOLD,956,0
474,425,Spain,Female,22,7,169649.73,2,0,1,136365,1,2,GOLD,619,1
475,547,Spain,Female,31,9,0,2,0,0,99294.22,0,2,GOLD,470,0
476,700,Spain,Female,46,5,56580.95,2,0,1,45424.13,0,2,SILVER,868,0
477,767,Spain,Male,31,6,0,2,1,1,195668,0,1,PLATINUM,244,0
478,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0,1,DIAMOND,527,0
479,745,Spain,Female,35,8,0,2,1,1,116581.1,0,1,PLATINUM,879,0
480,485,Spain,Female,30,7,0,1,1,0,107067.37,0,1,DIAMOND,829,0
481,590,Spain,Female,37,0,64345.21,1,0,1,61759.33,1,5,GOLD,282,1
482,581,Spain,Female,29,8,0,2,1,0,46735.19,0,4,PLATINUM,977,0
483,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0,4,SILVER,227,0
484,527,Spain,Female,29,2,27755.97,1,1,0,97468.44,1,3,PLATINUM,525,1
485,639,Spain,Female,28,8,97840.72,1,1,1,178222.77,0,2,DIAMOND,260,0
486,731,Spain,Male,25,8,96950.21,1,1,0,97877.92,0,5,PLATINUM,448,0
487,624,Spain,Male,33,6,0,2,0,0,76551.7,0,5,GOLD,566,0
488,634,Spain,Male,36,2,85996.19,1,1,0,15887.68,0,4,SILVER,552,0
489,850,Spain,Female,50,10,0,2,1,1,33741.84,0,2,PLATINUM,802,0
490,529,Spain,Male,35,5,95772.97,1,1,1,112781.5,0,5,DIAMOND,619,0
491,572,Spain,Male,31,5,98108.79,1,0,1,119996.95,0,1,GOLD,639,0
492,770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1,4,SILVER,968,1
493,648,Spain,Male,35,7,0,2,1,1,78436.36,0,2,SILVER,853,0
494,530,Spain,Female,36,2,0,2,1,1,14721.8,0,5,GOLD,972,0
495,563,Spain,Male,32,6,0,2,1,1,19720.08,0,4,SILVER,574,0
496,667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0,1,DIAMOND,385,0
497,613,Spain,Male,34,8,117300.02,1,1,0,139410.08,0,5,SILVER,572,0
498,535,Spain,Female,49,7,115309.75,1,1,0,111421.77,0,5,GOLD,885,0
499,850,Spain,Female,38,3,0,2,0,1,179360.76,0,2,DIAMOND,729,0
500,673,Spain,Female,37,0,0,2,0,0,82351.06,0,1,PLATINUM,602,0
501,627,Spain,Female,30,6,0,1,1,1,113408.47,0,4,DIAMOND,320,0
502,796,Spain,Male,67,5,0,2,0,1,54871.02,0,3,GOLD,726,0
503,773,Spain,Female,33,10,0,1,1,1,98820.09,0,4,SILVER,610,0
504,752,Spain,Male,36,2,0,2,1,1,45570.84,0,1,SILVER,251,0
505,625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0,1,PLATINUM,850,0
506,605,Spain,Female,48,6,0,2,1,1,40062.99,0,2,DIAMOND,457,0
507,670,Spain,Female,32,3,0,2,1,0,46175.7,0,5,SILVER,325,0
508,617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0,3,SILVER,702,0
509,746,Spain,Male,31,2,113836.27,1,1,1,174815.54,0,3,SILVER,537,0
510,503,Spain,Male,25,7,0,1,0,1,192841.13,0,1,SILVER,417,0
511,632,Spain,Female,40,3,109740.62,1,1,0,141896.74,0,4,PLATINUM,336,0
512,655,Spain,Female,56,5,0,2,1,1,41782.7,0,2,PLATINUM,979,0
513,452,Spain,Male,44,3,88915.85,1,1,0,69697.74,0,3,GOLD,474,0
514,783,Spain,Male,39,9,0,2,1,0,143752.77,0,4,DIAMOND,301,0
515,680,Spain,Male,35,9,0,2,0,0,143774.06,0,5,PLATINUM,590,0
516,624,Spain,Male,51,5,174397.21,2,1,1,172372.63,0,2,PLATINUM,955,0
517,655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0,4,DIAMOND,779,0
518,705,Spain,Female,24,5,177799.83,2,0,0,79886.06,0,2,GOLD,443,0
519,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1,4,SILVER,976,1
520,559,Spain,Male,25,5,0,2,1,1,163221.22,0,3,SILVER,897,0
521,488,Spain,Female,39,9,140553.46,1,0,0,12440.44,0,3,PLATINUM,243,0
522,582,Spain,Male,26,4,65848.36,2,1,0,30149.21,0,1,SILVER,518,0
523,733,Spain,Female,30,0,83319.28,1,0,0,57769.2,0,2,PLATINUM,627,0
524,598,Spain,Female,38,6,0,2,0,0,173783.38,0,4,PLATINUM,897,0
525,717,Spain,Male,35,1,0,3,0,0,174770.14,1,3,GOLD,810,1
526,476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0,5,DIAMOND,563,0
527,748,Spain,Female,40,4,0,2,1,0,132368.47,0,3,DIAMOND,770,0
528,531,Spain,Female,45,1,126495.57,2,1,1,164741.5,0,2,GOLD,242,0
529,719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1,5,DIAMOND,777,1
530,563,Spain,Female,46,8,106171.68,1,1,0,163145.5,1,3,GOLD,672,1
531,695,Spain,Male,28,0,96020.86,1,1,1,57992.49,0,2,SILVER,865,0
532,841,Spain,Male,41,1,0,2,0,1,193093.77,0,5,SILVER,842,0
533,556,Spain,Female,48,8,168522.37,1,1,1,151310.16,0,2,SILVER,393,0
534,728,Spain,Female,37,4,0,1,0,0,4539.38,0,2,DIAMOND,521,0
535,545,Spain,Female,39,6,0,1,0,0,38410.74,1,4,SILVER,542,1
536,451,Spain,Female,23,9,0,2,0,1,48021.71,0,1,DIAMOND,576,0
537,624,Spain,Female,28,2,0,2,0,1,104353.26,0,4,GOLD,673,0
538,665,Spain,Male,41,8,0,2,1,0,132152.32,0,2,GOLD,251,0
539,782,Spain,Male,34,6,147422.44,1,0,1,42143.61,0,5,GOLD,960,0
540,668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1,2,SILVER,967,1
541,539,Spain,Male,38,6,0,1,1,1,152880.07,1,3,SILVER,219,1
542,581,Spain,Female,50,4,0,2,1,1,80701.72,0,3,GOLD,232,0
543,737,Spain,Male,38,6,146282.79,2,1,0,198516.2,0,5,PLATINUM,703,0
544,658,Spain,Female,31,2,36566.96,1,1,0,103644.98,1,4,PLATINUM,953,1
545,686,Spain,Female,36,5,0,2,1,1,152979.14,0,4,GOLD,966,0
546,626,Spain,Female,48,2,0,2,1,1,95794.98,0,3,DIAMOND,682,0
547,569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0,4,GOLD,697,0
548,811,Spain,Male,39,7,0,2,1,1,177519.39,0,3,GOLD,363,0
549,725,Spain,Female,32,0,0,2,1,1,138525.19,0,2,PLATINUM,823,0
550,667,Spain,Male,39,9,0,2,1,0,68873.8,0,5,PLATINUM,535,0
551,655,Spain,Male,38,3,250898.09,3,0,1,81054,1,1,SILVER,336,1
552,531,Spain,Male,70,1,0,2,0,0,99503.19,0,2,PLATINUM,982,0
553,531,Spain,Male,37,1,143407.29,2,0,1,84402.46,0,1,SILVER,556,0
554,678,Spain,Female,49,8,0,2,0,1,98090.69,0,3,DIAMOND,401,0
555,646,Spain,Female,42,3,99836.47,1,0,1,22909.56,0,3,GOLD,324,0
556,596,Spain,Male,41,5,0,2,0,1,141053.85,0,4,SILVER,906,0
557,472,Spain,Female,28,4,0,2,1,0,1801.77,0,3,DIAMOND,633,0
558,732,Spain,Male,33,8,0,1,1,0,119882.7,0,2,DIAMOND,741,0
559,765,Spain,Female,32,9,178095.55,1,0,0,47247.56,0,3,GOLD,656,0
560,609,Spain,Female,43,6,86053.52,2,1,1,113276.46,1,5,PLATINUM,529,1
561,718,Spain,Male,45,3,105266.32,2,1,1,193724.51,0,5,SILVER,372,0
562,634,Spain,Male,34,1,0,2,1,0,61995.57,0,5,SILVER,522,0
563,633,Spain,Male,33,4,137847.41,2,1,0,98349.13,0,1,DIAMOND,836,0
564,630,Spain,Male,26,7,0,2,1,1,6656.64,0,2,DIAMOND,776,0
565,836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1,4,GOLD,611,1
566,767,Spain,Male,77,8,149083.7,1,1,1,190146.83,0,5,GOLD,383,0
567,699,Spain,Male,35,2,167455.66,2,1,1,55324.49,0,3,GOLD,936,0
568,774,Spain,Female,43,1,116360.07,1,1,0,17004.14,0,5,SILVER,239,0
569,745,Spain,Male,40,3,88466.82,1,0,0,116331.42,0,4,SILVER,645,0
570,665,Spain,Male,38,9,0,1,0,1,87412.74,0,3,GOLD,309,0
571,739,Spain,Male,40,1,109681.61,1,1,1,193321.3,0,5,PLATINUM,523,0
572,699,Spain,Male,34,8,0,1,1,1,76510.46,0,2,PLATINUM,403,0
573,708,Spain,Female,32,8,187487.63,1,1,1,120115.5,0,3,GOLD,681,0
574,525,Spain,Female,47,6,118560,1,1,0,82522.61,1,4,PLATINUM,375,1
575,798,Spain,Female,58,9,0,2,0,0,119071.56,1,3,DIAMOND,400,1
576,614,Spain,Male,35,2,127283.78,1,1,1,31302.35,0,1,SILVER,668,0
577,473,Spain,Male,48,8,0,2,1,0,71139.8,0,4,SILVER,304,0
578,850,Spain,Male,28,9,97408.03,1,1,1,175853.64,0,3,GOLD,962,0
579,613,Spain,Male,30,9,111927.45,1,1,1,175795.87,0,1,SILVER,515,0
580,509,Spain,Male,38,2,0,1,0,0,168460.12,0,2,GOLD,450,0
581,663,Spain,Male,33,9,0,2,0,0,91514.62,0,5,PLATINUM,868,0
582,666,Spain,Male,35,2,104832.49,1,1,0,175015.12,0,4,DIAMOND,411,0
583,733,Spain,Female,31,9,102289.85,1,1,1,115441.66,0,2,PLATINUM,239,0
584,631,Spain,Male,55,9,99685.06,1,1,0,114474.98,0,1,DIAMOND,932,0
585,790,Spain,Male,46,2,131365.37,2,1,1,180290.68,0,5,GOLD,242,0
586,633,Spain,Male,58,6,98308.51,1,1,1,132034.13,0,3,DIAMOND,808,0
587,757,Spain,Male,44,5,140856.16,2,1,0,158735.1,0,5,DIAMOND,293,0
588,649,Spain,Male,36,8,0,2,1,0,161668.15,0,3,GOLD,354,0
589,565,Spain,Male,38,0,122447.76,1,0,0,67339.34,0,4,PLATINUM,652,0
590,648,Spain,Female,56,6,157559.59,2,1,0,140991.23,1,4,SILVER,320,1
591,756,Spain,Male,38,6,119208.85,1,1,0,169763.89,1,1,DIAMOND,257,1
592,717,Spain,Female,39,6,0,2,1,0,93275.61,0,3,DIAMOND,988,0
593,539,Spain,Female,37,1,130922.81,2,0,0,2186.83,0,1,PLATINUM,319,0
594,706,Spain,Male,20,8,0,2,1,1,12368.11,0,4,PLATINUM,354,0
595,677,Spain,Female,25,8,130866.19,1,1,0,42410.21,0,5,DIAMOND,236,0
596,684,Spain,Female,41,7,0,1,1,1,138394.37,0,2,SILVER,795,0
597,478,Spain,Male,43,1,0,2,1,1,197916.43,0,5,DIAMOND,303,0
598,686,Spain,Female,35,4,0,2,1,1,159676.55,0,2,GOLD,624,0
599,726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0,2,GOLD,535,0
600,745,Spain,Male,34,9,0,2,1,0,50046.25,0,3,SILVER,848,0
601,658,Spain,Male,50,2,0,2,1,0,52137.73,0,1,GOLD,893,0
602,598,Spain,Male,27,8,90721.52,2,1,0,109296.18,0,1,GOLD,698,0
603,689,Spain,Female,45,0,57784.22,1,1,0,197804,1,3,SILVER,709,1
604,651,Spain,Female,45,10,135923.16,1,1,0,18732.84,0,3,GOLD,500,0
605,714,Spain,Male,45,0,124693.48,1,0,1,187194.15,0,2,PLATINUM,952,0
606,759,Spain,Female,35,7,147936.42,1,1,1,106785.7,0,4,SILVER,312,0
607,561,Spain,Female,28,3,0,2,1,0,191387.76,0,1,DIAMOND,276,0
608,672,Spain,Male,33,2,0,2,1,1,182738,0,4,SILVER,609,0
609,567,Spain,Female,41,1,0,2,1,0,3414.72,0,5,SILVER,684,0
610,762,Spain,Male,29,10,115545.33,2,1,0,148256.43,0,3,PLATINUM,931,0
611,648,Spain,Male,35,7,0,2,0,0,122899.01,0,2,DIAMOND,878,0
612,706,Spain,Male,29,2,0,2,1,1,18255.51,0,1,SILVER,868,0
613,484,Spain,Female,39,5,0,2,1,1,175224.12,0,2,SILVER,740,0
614,484,Spain,Male,36,8,0,2,1,0,186136.48,0,1,PLATINUM,512,0
615,803,Spain,Female,37,1,0,2,0,0,7455.2,0,4,SILVER,663,0
616,701,Spain,Female,35,9,0,2,0,0,170996.86,0,3,DIAMOND,303,0
617,593,Spain,Male,44,5,0,1,1,0,128046.98,0,2,SILVER,569,0
618,794,Spain,Male,38,9,179581.31,1,1,0,23596.24,0,4,PLATINUM,814,0
619,637,Spain,Female,45,2,157929.45,1,1,1,145134.49,1,4,DIAMOND,546,1
620,569,Spain,Female,42,1,0,1,1,1,83629.6,1,2,PLATINUM,748,1
621,557,Spain,Male,48,10,0,2,1,1,185094.48,0,5,PLATINUM,933,0
622,648,Spain,Female,54,7,118241.02,1,1,0,172586.89,1,3,DIAMOND,884,1
623,639,Spain,Male,29,4,133434.57,2,1,0,97983.44,0,3,PLATINUM,293,0
624,815,Spain,Female,39,6,0,1,1,1,85167.88,0,4,DIAMOND,818,0
625,786,Spain,Male,31,9,0,2,1,1,18210.36,0,1,SILVER,400,0
626,614,Spain,Female,41,7,179915.85,1,0,0,14666.35,1,3,GOLD,451,1
627,773,Spain,Female,39,4,0,2,0,1,182081.45,0,2,GOLD,545,0
628,655,Spain,Female,35,1,82231.51,2,1,0,88798.02,0,1,SILVER,227,0
629,649,Spain,Male,51,4,0,1,1,1,150390.57,0,3,PLATINUM,782,0
630,671,Spain,Female,34,10,0,1,1,0,23235.38,0,5,SILVER,991,0
631,706,Spain,Female,42,8,95386.82,1,1,1,75732.25,0,5,SILVER,734,0
632,630,Spain,Male,30,3,0,2,0,1,10486.69,0,5,PLATINUM,274,0
633,702,Spain,Male,32,8,71667.74,1,1,1,126082.18,0,2,GOLD,225,0
634,653,Spain,Male,55,7,0,2,1,1,41967.03,0,2,SILVER,581,0
635,732,Spain,Female,33,8,111379.55,1,1,1,45098.62,0,5,PLATINUM,473,0
636,580,Spain,Female,57,0,136820.99,1,0,1,108528.74,0,5,GOLD,419,0
